Wall time,Step,Value
1519830545.811354,0,-0.1234571784734726
1519830546.021883,1,-0.1234571784734726
1519830547.072398,2,-0.08103570342063904
1519830547.375516,3,-0.18697448074817657
1519830547.694428,4,-0.208588108420372
1519830547.986881,5,-0.24702134728431702
1519830548.264892,6,-0.25788217782974243
1519830548.531689,7,-0.24632635712623596
1519830548.794382,8,-0.25781500339508057
1519830549.042655,9,-0.22737985849380493
1519830549.310085,10,-0.24766188859939575
1519830549.552004,11,-0.22856558859348297
1519830549.808911,12,-0.2543346881866455
1519830550.068631,13,-0.2644924223423004
1519830550.332493,14,-0.2621440291404724
1519830550.599401,15,-0.2397458553314209
1519830550.863066,16,-0.23185545206069946
1519830551.109598,17,-0.2310446798801422
1519830551.376874,18,-0.2520129084587097
1519830551.621115,19,-0.22472302615642548
1519830551.886041,20,-0.2546451687812805
1519830552.15363,21,-0.2516753375530243
1519830552.41818,22,-0.2525956928730011
1519830552.66469,23,-0.2333521991968155
1519830552.929659,24,-0.22065456211566925
1519830553.208102,25,-0.2524527609348297
1519830553.472638,26,-0.24700391292572021
1519830553.745339,27,-0.22695699334144592
1519830554.004391,28,-0.24848033487796783
1519830554.269717,29,-0.25911590456962585
1519830554.544616,30,-0.24734161794185638
1519830554.796583,31,-0.2342522293329239
1519830555.057804,32,-0.2605666518211365
1519830555.328562,33,-0.22585341334342957
1519830555.599268,34,-0.2456509917974472
1519830555.868011,35,-0.219692200422287
1519830556.131868,36,-0.2635088562965393
1519830556.392118,37,-0.24189071357250214
1519830556.640361,38,-0.2255163937807083
1519830556.900161,39,-0.2511940002441406
1519830557.192356,40,-0.18643051385879517
1519830557.932556,41,-0.10529913753271103
1519830558.491888,42,-0.1793111264705658
1519830558.717793,43,-0.2939746379852295
1519830558.947943,44,-0.29120466113090515
1519830559.186662,45,-0.2822553813457489
1519830559.399818,46,-0.243238627910614
1519830559.621706,47,-0.285627156496048
1519830559.849287,48,-0.281167209148407
1519830560.076422,49,-0.28469955921173096
1519830560.304727,50,-0.2940375804901123
1519830560.50974,51,-0.2611561119556427
1519830560.733103,52,-0.28594672679901123
1519830560.976653,53,-0.2547702491283417
1519830561.31366,54,-0.20028144121170044
1519830561.613659,55,-0.21521849930286407
1519830561.931251,56,-0.1799708604812622
1519830562.236181,57,-0.19134734570980072
1519830562.549224,58,-0.17645026743412018
1519830562.877353,59,-0.18913716077804565
1519830563.225766,60,-0.17373031377792358
1519830563.584829,61,-0.1957302987575531
1519830563.936068,62,-0.20789024233818054
1519830564.326332,63,-0.14987128973007202
1519830564.719324,64,-0.14833950996398926
1519830565.071646,65,-0.17042842507362366
1519830566.211898,66,-0.3305063247680664
1519830566.554447,67,-0.2068423628807068
1519830566.852008,68,-0.1875755786895752
1519830567.469813,69,-0.2120073437690735
1519830568.53866,70,-0.310037761926651
1519830569.606792,71,-0.31519338488578796
1519830569.842111,72,-0.243832528591156
1519830570.077411,73,-0.2597388029098511
1519830570.29351,74,-0.23113088309764862
1519830570.518987,75,-0.25227615237236023
1519830570.745398,76,-0.2617241442203522
1519830570.981341,77,-0.2778376042842865
1519830571.211228,78,-0.2747637927532196
1519830571.441447,79,-0.2802823781967163
1519830571.682712,80,-0.2805211842060089
1519830571.898111,81,-0.24473682045936584
1519830572.132555,82,-0.28137820959091187
1519830572.344355,83,-0.2518503963947296
1519830572.57183,84,-0.25478649139404297
1519830572.813358,85,-0.2899470329284668
1519830573.046837,86,-0.2762777507305145
1519830573.26692,87,-0.2509599030017853
1519830573.502869,88,-0.2940618097782135
1519830573.743397,89,-0.27687230706214905
1519830573.961825,90,-0.25195109844207764
1519830574.19216,91,-0.24511796236038208
1519830574.410049,92,-0.24257878959178925
1519830574.63143,93,-0.24691620469093323
1519830574.839323,94,-0.25626692175865173
1519830575.073834,95,-0.29163432121276855
1519830575.322455,96,-0.28206196427345276
1519830575.532788,97,-0.2498863935470581
1519830575.767369,98,-0.2917802929878235
1519830575.990919,99,-0.2488226443529129
1519830576.22155,100,-0.28080394864082336
1519830576.451836,101,-0.26563313603401184
1519830576.675067,102,-0.25127726793289185
1519830576.90682,103,-0.2875005304813385
1519830577.119396,104,-0.24750635027885437
1519830577.340336,105,-0.251175194978714
1519830577.556042,106,-0.2481376975774765
1519830577.764073,107,-0.2681397795677185
1519830577.981726,108,-0.2584770619869232
1519830578.191678,109,-0.26449012756347656
1519830578.423855,110,-0.2927972078323364
1519830578.657849,111,-0.2636612057685852
1519830578.871509,112,-0.2714879810810089
1519830579.10343,113,-0.27717313170433044
1519830579.310623,114,-0.2698391377925873
1519830579.525597,115,-0.28075528144836426
1519830579.780769,116,-0.2786407470703125
1519830580.015381,117,-0.24693278968334198
1519830580.237944,118,-0.2623967230319977
1519830580.455245,119,-0.24614223837852478
1519830580.668737,120,-0.2390618920326233
1519830580.886555,121,-0.25959494709968567
1519830581.097546,122,-0.24923956394195557
1519830581.327105,123,-0.28599271178245544
1519830581.566905,124,-0.2945062816143036
1519830581.793161,125,-0.286393404006958
1519830582.001082,126,-0.23976947367191315
1519830582.210912,127,-0.2528754770755768
1519830582.418497,128,-0.2720228433609009
1519830582.622261,129,-0.25030890107154846
1519830582.855859,130,-0.27377423644065857
1519830583.074498,131,-0.2683388888835907
1519830583.323238,132,-0.2747936546802521
1519830583.567359,133,-0.2816013991832733
