Wall time,Step,Value
1519904832.325574,0,-5.149658203125
1519904832.598837,1,-5.149658203125
1519904833.265131,2,-5.075633525848389
1519904833.746613,3,-3.9373791217803955
1519904834.291237,4,-4.005573272705078
1519904834.555344,5,-3.6297295093536377
1519904834.815647,6,-3.473447561264038
1519904835.082119,7,-3.1441500186920166
1519904835.304413,8,-2.450982093811035
1519904835.513952,9,-2.4611172676086426
1519904835.725827,10,-2.891767978668213
1519904835.930888,11,-2.7448630332946777
1519904836.15915,12,-2.449669599533081
1519904836.399937,13,-3.510241746902466
1519904836.65672,14,-3.665212869644165
1519904836.929479,15,-3.645723581314087
1519904837.220475,16,-3.2911536693573
1519904837.586269,17,-3.5425198078155518
1519904838.083606,18,-4.421716213226318
1519904838.806582,19,-4.544095993041992
1519904839.181479,20,-3.11783504486084
1519904839.448313,21,-2.5582222938537598
1519904839.713488,22,-3.1245367527008057
1519904839.976316,23,-2.769757032394409
1519904840.202523,24,-3.0577101707458496
1519904840.439254,25,-3.5088038444519043
1519904840.63098,26,-2.3356640338897705
1519904840.863058,27,-3.6374595165252686
1519904841.077115,28,-2.552541494369507
1519904841.308283,29,-3.2087345123291016
1519904841.494239,30,-2.5917809009552
1519904841.717314,31,-3.0713465213775635
1519904841.966247,32,-3.6895110607147217
1519904842.177393,33,-3.6678812503814697
1519904842.3772,34,-3.6953155994415283
1519904842.59788,35,-3.346475124359131
1519904842.825027,36,-3.521979570388794
1519904843.02287,37,-3.0564804077148438
1519904843.240814,38,-2.5790390968322754
1519904843.462287,39,-2.3884098529815674
1519904843.723579,40,-2.429837942123413
1519904843.969717,41,-3.078117609024048
1519904844.368617,42,-4.276486396789551
1519904844.714275,43,-4.000446796417236
1519904845.000896,44,-2.667508840560913
1519904845.279546,45,-3.0215959548950195
1519904845.510645,46,-2.571610689163208
1519904845.765196,47,-3.7087249755859375
1519904846.008934,48,-3.254314422607422
1519904846.267921,49,-4.027596473693848
1519904846.962128,50,-6.722833156585693
1519904847.778977,51,-8.684142112731934
1519904848.011021,52,-3.7183473110198975
1519904848.248128,53,-3.1956913471221924
1519904848.461028,54,-2.559941291809082
1519904848.684072,55,-3.0515756607055664
1519904848.899837,56,-3.806736946105957
1519904849.143574,57,-3.483306884765625
1519904849.369541,58,-2.7305617332458496
1519904849.582072,59,-2.4227139949798584
1519904849.796347,60,-3.4314539432525635
1519904849.984076,61,-2.3863658905029297
1519904850.192156,62,-3.6761221885681152
1519904850.381699,63,-2.4248363971710205
1519904850.608031,64,-2.686114549636841
