Wall time,Step,Value
1519814545.731641,3,-0.28941580653190613
1519814546.097197,5,-0.29489782452583313
1519814546.428014,7,-0.19951225817203522
1519814546.591198,8,-0.21263441443443298
1519814546.754035,9,-0.247568741440773
1519814546.935145,10,-0.2707367539405823
1519814547.260077,12,-0.20727959275245667
1519814548.093904,17,-0.2260463982820511
1519814548.427959,19,-0.3195624351501465
1519814548.748794,21,-0.26781558990478516
1519814549.24785,24,-0.2842269837856293
1519814549.405249,25,-0.26758554577827454
1519814549.732747,27,-0.2784020006656647
1519814550.041638,29,-0.3316440284252167
1519814550.859468,34,-0.2649732232093811
1519814551.023768,35,-0.23665326833724976
1519814551.165925,36,-0.22042085230350494
1519814551.311282,37,-0.2028781771659851
1519814551.471709,38,-0.2043357491493225
1519814551.647325,39,-0.2691859304904938
1519814551.809826,40,-0.30922287702560425
1519814551.978336,41,-0.24906347692012787
1519814552.137336,42,-0.28732067346572876
1519814552.627959,45,-0.3093767464160919
1519814552.801845,46,-0.3433203101158142
1519814553.108578,48,-0.22049789130687714
1519814553.268757,49,-0.19802074134349823
1519814553.601262,51,-0.3354548215866089
1519814553.925746,53,-0.32638922333717346
1519814554.091706,54,-0.2831466495990753
1519814554.403019,56,-0.23399730026721954
1519814554.565054,57,-0.29094114899635315
1519814554.725701,58,-0.2837737202644348
1519814554.868126,59,-0.20810404419898987
1519814556.628347,70,-0.3122657239437103
1519814556.785559,71,-0.2768680453300476
1519814557.115024,73,-0.3172011375427246
1519814557.757147,77,-0.20805948972702026
1519814558.414124,81,-0.26709142327308655
1519814558.574886,82,-0.25356587767601013
1519814558.735764,83,-0.26975223422050476
1519814558.904805,84,-0.257462739944458
1519814559.073149,85,-0.3333025872707367
1519814559.378711,87,-0.22259435057640076
1519814559.549943,88,-0.3024856746196747
1519814559.881063,90,-0.33217939734458923
1519814560.02844,91,-0.2141042798757553
1519814560.187117,92,-0.2816164195537567
1519814561.905677,95,-0.2817046642303467
1519814562.386684,98,-0.2929697632789612
1519814562.902422,101,-0.21307750046253204
1519814563.069231,102,-0.3375155031681061
1519814563.541243,105,-0.20921958982944489
1519814563.701203,106,-0.26624876260757446
1519814563.872392,107,-0.29852256178855896
1519814564.035561,108,-0.2796812951564789
1519814564.896244,113,-0.27135124802589417
1519814565.060951,114,-0.2849544584751129
1519814565.401868,116,-0.26845213770866394
1519814566.526479,122,-0.2644888162612915
1519814566.695999,123,-0.19139498472213745
1519814566.890322,124,-0.18393807113170624
1519814567.271794,126,-0.21821768581867218
1519814567.748162,129,-0.27014949917793274
1519814568.192077,132,-0.3253763020038605
1519814568.335705,133,-0.23680570721626282
1519814568.629894,135,-0.24520401656627655
1519814569.092719,138,-0.313409686088562
1519814569.242435,139,-0.23086485266685486
1519814569.388838,140,-0.2852117121219635
1519814569.704776,142,-0.3550463020801544
1519814570.3052,146,-0.30179643630981445
1519814570.447466,147,-0.31595954298973083
1519814570.9201,150,-0.35239261388778687
1519814571.69663,155,-0.35356539487838745
1519814571.989306,157,-0.2341012954711914
1519814572.278876,159,-0.2426271140575409
1519814572.423613,160,-0.27310797572135925
1519814572.563288,161,-0.2978997826576233
1519814573.321408,166,-0.23710830509662628
1519814573.461756,167,-0.261867493391037
1519814573.769327,169,-0.29490575194358826
1519814573.922465,170,-0.28067442774772644
1519814574.547265,174,-0.2664183974266052
1519814574.697879,175,-0.29111602902412415
1519814574.84788,176,-0.23119547963142395
1519814575.311148,179,-0.34989994764328003
1519814575.460489,180,-0.29292041063308716
1519814575.608932,181,-0.3025357723236084
1519814575.754138,182,-0.2651910185813904
1519814576.048745,184,-0.23973961174488068
1519814576.195657,185,-0.26624250411987305
1519814576.336094,186,-0.31884413957595825
1519814576.481019,187,-0.23895741999149323
1519814576.626506,188,-0.3961701989173889
1519814576.777745,189,-0.2645582854747772
1519814577.227127,192,-0.2325216680765152
1519814577.391171,193,-0.3293442130088806
1519814577.542067,194,-0.24220331013202667
1519814577.838059,196,-0.2881120443344116
1519814578.123403,198,-0.245236337184906
1519814578.263063,199,-0.23456594347953796
1519814578.403413,200,-0.35426777601242065
1519814578.54473,201,-0.3381846845149994
1519814579.033289,204,-0.3593466281890869
1519814579.177316,205,-0.23536273837089539
1519814579.486386,207,-0.2756635844707489
1519814579.921453,210,-0.3386123478412628
1519814580.078239,211,-0.34083208441734314
1519814580.650766,215,-0.2603009343147278
1519814581.106113,218,-0.3180721700191498
1519814581.252819,219,-0.2436710149049759
1519814581.39496,220,-0.2880496680736542
1519814581.538895,221,-0.2632918655872345
1519814581.700428,222,-0.3409220278263092
1519814581.845173,223,-0.24280628561973572
1519814582.004451,224,-0.36694177985191345
1519814582.438614,227,-0.27851781249046326
1519814582.749092,229,-0.31680142879486084
1519814582.912162,230,-0.3221833109855652
1519814583.078061,231,-0.35651424527168274
1519814583.368782,233,-0.27126649022102356
1519814583.682015,235,-0.355621337890625
